item_id,title,author,fs_is_favorite,fs_highlight_entries_with_text,li_exists,li_item_type,li_is_favorite,cnt_total,cnt_hi_text_rows,ing_files_total,ing_files_completed,index_state,file_reports,external_meta,external_edges,keep_reasons,delete_candidate
1763848979019,Ahlak Felsefesi,Alexis Bertrand,True,29,1,BOOK,1,255,29,1,1,1,0,1,2,favorite|highlight_or_insight_text|ingested_file_present,False
1763947192793bksc6vmrv,Ahlak Felsefesinin Sorunları,Theodor W. Adorno,True,55,1,BOOK,1,257,55,1,1,1,0,1,0,favorite|highlight_or_insight_text|ingested_file_present,False
1764896763489,Akıl Çağı,Thomas Paine,True,3,1,BOOK,1,4,3,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1764897076936,Altin Gözlü Kiz,Honore de Balzac ( de Balzac),True,4,1,BOOK,1,5,4,0,0,1,0,1,2,favorite|highlight_or_insight_text,False
1764897385788,Antonius ve Kleopatra,William Shakespeare,True,4,1,BOOK,1,5,4,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1771596640271,Aska Övgü,Alain Badiou,True,13,1,BOOK,0,75,13,1,1,1,0,1,0,favorite|highlight_or_insight_text|ingested_file_present,False
1763947191494976ba8x95,Aşkın Metafiziği,Arthur Schopenhauer,True,9,1,BOOK,0,10,9,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1771597871665,Başka bir estetik,Alain Badiou,True,12,1,BOOK,0,173,12,1,1,1,0,1,0,favorite|highlight_or_insight_text|ingested_file_present,False
1764897576314,Belki yine gelirim,Ahmet Telli,True,4,1,BOOK,1,5,4,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1771795251587,Bilginin Toplumsal Tarihi,Peter Burke,True,5,1,BOOK,0,6,5,0,0,1,0,1,0,favorite|highlight_or_insight_text,False
1771621208556,Bilim ve Bilgelik,Arthur Schopenhauer,True,12,1,BOOK,0,147,12,1,1,1,0,1,0,favorite|highlight_or_insight_text|ingested_file_present,False
1764897746630,Binboğalar Efsanesi,Yaşar Kemal,True,5,1,BOOK,1,6,5,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1764898272317,Bir Havva Kizi - Hasan Ali Yücel Klasikleri,Honoré de Balzac,True,6,1,BOOK,1,7,6,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1764898065728,Caligula and Three Other Plays,Albert Camus,True,5,1,BOOK,1,6,5,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1764898485516,Cekilme Sulari,Sükrü Erbas,True,9,1,BOOK,1,10,9,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
1764933097881,Daha Dun,Selim Ileri,True,11,1,BOOK,1,12,11,0,0,1,0,1,1,favorite|highlight_or_insight_text,False
1764933648171,Demian,Hermann Hesse,True,7,1,BOOK,1,8,7,0,0,1,0,0,0,favorite|highlight_or_insight_text,False
